STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/8/18,0,0,1.2,41,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/9/18,0,0,0,44,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/10/18,0,0,0,42,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/11/18,0,0,0,46,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/12/18,0.03,0,0,45,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/13/18,0.21,1.2,1.2,42,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/14/18,0,0,0,42,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/15/18,0,0,0,48,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/16/18,0,0,0,41,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/17/18,0,0,0,50,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/18/18,0,0,0,44,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/19/18,0,0,0,47,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/20/18,0.03,0,0,37,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/21/18,0.88,8.4,0,38,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/22/18,0.03,0.3,9.1,48,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/23/18,0,0,5.1,49,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/24/18,0,0,2,51,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/25/18,0,0,0,45,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/26/18,0,0,0,47,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/27/18,0,0,0,42,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/28/18,0.03,0,0,49,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/29/18,0.03,0,0,49,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/30/18,0.09,0,0,62,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/31/18,0,0,0,52,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/1/18,0,0,0,63,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/2/18,0.33,3.7,2,42,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/3/18,0.14,0,0,42,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/4/18,0.17,0,0,57,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/5/18,0,0,0,46,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/6/18,0.08,0,0,53,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/7/18,0,0,0,48,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/8/18,0,0,0,46,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/9/18,0,0,0,45,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/10/18,0.01,0,0,51,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/11/18,0,0,0,49,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/12/18,0,0,0,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/13/18,0,0,0,70,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/14/18,0,0,0,67,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/15/18,0.25,0,0,45,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/16/18,1.53,0,0,57,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/17/18,0,0,0,48,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/18/18,0,0,0,53,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/19/18,0.15,0,0,48,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/20/18,0,0,0,52,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/21/18,0,0,0,61,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/22/18,0,0,0,61,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/23/18,0,0,0,61,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/24/18,0,0,0,62,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/25/18,0.34,0,0,57,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/26/18,0.04,0,0,68,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/27/18,0.12,0,0,56,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/28/18,0.01,0,0,60,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/29/18,0.13,0,0,59,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/30/18,0,0,0,53,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/1/18,0,0,0,76,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/2/18,0,0,0,83,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/3/18,0,0,0,84,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/4/18,0,0,0,78,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/5/18,0,0,0,76,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/6/18,0,0,0,66,56
