STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/09,0,0,0,28,16
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/09,0,0,0,37,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/09,0,0,0,41,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/09,0,0,0,44,26
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/09,0.01,0,0,45,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/09,0.03,0,0,39,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/09,1.52,0,0,40,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/09,0,0,0,41,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/09,0,0,0,36,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/09,0.04,0.6,0,32,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/09,0.09,0,0,35,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/09,0,0,0,34,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/09,0,0,0,40,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/09,0,0,0,37,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/09,0.03,0.9,0,24,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/09,0,0,1,19,11
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/09,0,0,1,23,7
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/09,0.2,1.8,1,33,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/09,0.05,0.8,2,32,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/09,0,0,2,29,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/09,0,0,2,27,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/09,0,0,1,37,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/09,0,0,1,42,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/09,0,0,0,44,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/25/09,0,0,0,29,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/26/09,0,0,0,29,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/27/09,0,0,0,31,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/28/09,0.88,2.3,2,42,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/29/09,0,0,0,37,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/30/09,0,0,0,36,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/31/09,0,0,0,30,22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/1/09,0,0,0,50,28
