STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/12,0.07,0,0,50,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/12,0,0,0,50,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/12,0,0,0,33,16
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/12,0,0,0,29,13
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/12,0,0,0,42,26
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/12,0,0,0,54,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/12,0,0,0,61,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/12,0,0,0,48,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/12,0,0,0,39,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/12,0,0,0,48,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/12,0.12,0,0,47,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/12,0.9,0,0,49,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/12,0,0,0,50,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/12,0,0,0,34,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/12,0,0,0,28,16
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/12,0,0,0,39,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/12,0.23,0,0,50,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/12,0,0,0,53,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/12,0,0,0,38,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/12,0,0,0,37,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/12,0.17,1.6,0,29,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/12,0,0,2,34,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/12,0.23,0,1,51,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/12,0,0,0,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/25/12,0,0,0,46,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/26/12,0.18,0,0,44,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/27/12,0.29,0,0,58,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/28/12,0,0,0,46,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/29/12,0,0,0,44,33
