STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/06,0,0,0,42,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/06,0.5,0,0,45,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/06,0.98,0,0,42,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/06,0,0,0,39,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/06,0.04,0,0,51,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/06,0,0,0,41,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/06,0,0,0,34,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/06,0,0,0,45,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/06,0,0,0,58,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/06,0,0,0,49,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/06,0.14,0,0,53,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/06,0,0,0,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/06,0.07,0,0,52,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/06,1.01,0,0,55,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/06,0.19,2.1,2,33,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/06,0,0,2,31,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/06,0.08,0,2,44,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/06,0.45,0,0,57,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/06,0,0,0,45,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/06,0,0,0,56,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/06,0,0,0,61,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/06,0,0,0,43,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/06,0.73,0,0,42,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/06,0,0,0,43,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/25/06,0.02,0,0,45,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/26/06,0,0,0,37,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/27/06,0,0,0,41,22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/28/06,0,0,0,55,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/29/06,0.09,0,0,47,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/30/06,0,0,0,62,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/31/06,0.06,0,0,42,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/1/06,0,0,0,44,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/2/06,0,0,0,48,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/3/06,0.47,0,0,61,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/4/06,0.29,0,0,54,38
