STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/15,0,0,0,40,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/15,0,0,0,45,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/15,0.94,0,0,47,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/15,0.47,0,0,55,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/15,0,0,0,51,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/15,0.07,1.1,0,23,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/15,0,0,1.2,25,10
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/15,0,0,0,22,8
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/15,0.07,1.3,0,34,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/15,0,0,1.2,24,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/15,0,0,1.2,38,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/15,0.7,0,0,40,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/15,0,0,0,37,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/15,0,0,0,33,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/15,0,0,0,35,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/15,0,0,0,45,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/15,0,0,0,32,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/15,1.62,0,0,47,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/15,0,0,0,45,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/15,0,0,0,41,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/15,0,0,0,38,26
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/15,0,0,0,41,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/15,0,0,0,39,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/15,0.75,3.4,3.1,40,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/25/15,0,0,0,45,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/26/15,0.33,5.1,0,32,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/27/15,0.31,5.6,9.1,27,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/28/15,0,0,9.8,33,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/29/15,0.01,0,9.1,37,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/30/15,0.04,0.6,9.1,38,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/31/15,0,0,7.1,27,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/1/15,0.03,0.3,7.1,36,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/2/15,1.18,4.2,7.9,35,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/3/15,0,0,7.9,26,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/4/15,0,0,7.9,39,22
